,MONTH,VOL_USD,TVL,FED_RATE
0,2020-09-01,456050782.24,283886003.97,0.09
1,2020-10-01,708534454.01,181919001.76,0.09
2,2020-11-01,790840938.33,319403269.43,0.09
3,2020-12-01,820429240.24,205995330.68,0.09
4,2021-01-01,2691110951.13,529405251.6,0.09
5,2021-02-01,2211304198.39,650973114.77,0.08
6,2021-03-01,2490194199.61,995742319.6,0.07
7,2021-04-01,4381350281.16,1431535182.21,0.07
8,2021-05-01,5338723212.33,1292106201.35,0.06
9,2021-06-01,1681366331.0,1747064496.4,0.08
10,2021-07-01,2005292155.74,1410696248.67,0.1
11,2021-08-01,2506380501.44,1309774222.3,0.09
12,2021-09-01,2156444751.04,2151943684.39,0.08
13,2021-10-01,2995448493.43,3555469980.38,0.08
14,2021-11-01,2314095628.74,4107829399.95,0.08
15,2021-12-01,1608455088.05,5341877824.95,0.08
16,2022-01-01,1963740989.16,3862104573.67,0.08
17,2022-02-01,1166052265.59,3970695539.9,0.08
18,2022-03-01,777174092.89,3372641454.06,0.2
19,2022-04-01,526660004.28,3289637020.46,0.33
20,2022-05-01,6242397344.62,1515774325.51,0.77
21,2022-06-01,4587883772.99,1042980178.22,1.21
22,2022-07-01,2150646768.19,959546801.21,1.68
23,2022-08-01,1821613252.52,916298474.19,2.33
24,2022-09-01,1613245574.96,850515454.77,2.56
25,2022-10-01,1625295058.84,775142372.72,3.08
26,2022-11-01,8763735404.32,690448603.67,3.78
27,2022-12-01,2835308300.45,609772773.29,4.1
28,2023-01-01,5288031224.69,557231495.88,4.33
29,2023-02-01,2558702310.37,514828152.09,4.57
30,2023-03-01,11480833512.35,439005643.97,4.65
31,2023-04-01,1430500171.43,412320996.57,4.83
32,2023-05-01,1385197862.61,395037468.82,5.06
33,2023-06-01,2602297909.52,317286672.07,5.08
34,2023-07-01,1190810655.48,222690594.9,5.12
35,2023-08-01,2130239768.06,216933546.86,5.33
36,2023-09-01,1163993751.61,215914528.14,5.33
37,2023-10-01,1253506549.07,198433176.94,5.33
