"HolderAddress","Balance","PendingBalanceUpdate"
"0x989AEb4d175e16225E39E87d0D97A3360524AD80","314,088,265.051772891553696615","No"
"0xF147b8125d2ef93FB6965Db97D6746952a133934","69,414,405.554077196366589671","No"
"0x52f541764e6e90eebc5c21ff570de0e2d63766b6","59,043,515.942902371903934912","No"
"0x9B44473E223f8a3c047AD86f387B80402536B029","27,245,677.362476803522349871","No"
"0x7a16fF8270133F063aAb6C9977183D9e72835428","24,359,046.585799788652317305","No"
"0xF89501B77B2FA6329F94F5A05FE84CEBB5C8B1A0","21,461,645.22787308020553164","No"
"0x425D16B0E08A28A3FF9E4404AE99D78C0A076C5A","15,691,593.945351741087456515","No"
"0x32D03DB62E464C9168E41028FFA6E9A05D8C6451","7,003,761.83584471136831207","No"
"0xC72AED14386158960D0E93FECB83642E68482E4B","4,884,680.179021062690033264","No"
"0x221C7C5A448C87F6834818F255D28E5A8124C4A1","4,364,082.280895287990088945","No"
"0x431e81e5dfb5a24541b5ff8762bdef3f32f96354","4,113,335.804104601333148955","No"
"0x394A16EEA604FBD86B0B45184B2D790C83A950E3","2,879,382.72076802705907692","No"
"0xe5350e927b904fdb4d2af55c566e269bb3df1941","2,491,663.819882724564993795","No"
"0x9c5083dd4838E120Dbeac44C052179692Aa5dAC5","2,003,092.379679161983536884","No"
"0xA5D223C176DAAB154A3134369D1C0478C5E6FECF","1,764,783.37415762081597554","No"
"0xb18fbfe3d34fdc227eb4508cde437412b6233121","1,752,840.044972741350285353","No"
"0x0D5Dc686d0a2ABBfDaFDFb4D0533E886517d4E83","1,544,636.163575328259843687","No"
"0xE1ACC251656C2964678A8843808DFC2BDF56DA20","1,429,214.608538752264807704","No"
"0xFBD50C82EA05D0D8B6B302317880060BC3086866","1,258,693.697301589312019186","No"
"0x9C02AC8A9E766A6E4F6987F5EA6AA91D70E932B9","1,244,486.398759843537675552","No"
"0x279A7DBFAE376427FFAC52FCB0883147D42165FF","1,165,007.013833547571663839","No"
"0xC62EECC24CB6E84DA2409E945DDCF7386118C57A","1,076,420.326054972803780745","No"
"0x1D5E65A087EBC3D03A294412E46CE5D6882969F4","1,044,635.201485041886996755","No"
"0x94A468FCB53A043BF5CD95EF21892E02C71134BE","988,994.39958857462168192","No"
"0xC18406AA413B4D08C729E7312239C34E45C61197","986,907.81983235509565752","No"
"0xF06016D822943C42E3CB7FC3A6A3B1889C1045F8","845,738.732899847637957458","No"
"0x847FA1A5337C7F24D7066E467F2E2A0F969CA79F","777,595.236095215615204935","No"
"0x7e8b062D0693eE611cA197f3A5CA412559F4A2F5","767,774.196478293773147309","No"
"0x39415255619783a2e71fcf7d8f708a951d92e1b6","695,411.439841388257468338","No"
"0x4BCC5CA6394971DDE157DEA794553D2B9DE44B0F","677,037.270978851286639195","No"
"0x7A8EDC710DDEADDDB0B539DE83F3A306A621E823","669,849.21302206293290379","No"
"0x662353d1A53C88c85E546d7C4A72CE8fE1018e72","633,447.222561059075023485","No"
"0xce2a3294f800b1bf9a907db3c7e377cf9486a456","630,794.349055541161131499","No"
"0x19AE3CF684087E2CB9CC2DD2B58C29F79F4E9D02","605,083.3040392955682868","No"
"0x975793c7a6a077221aca4e4fb9b7f9a46378463a","595,806.373297277802855884","No"
"0x018A82C70F689AEEDB05CBC55631C5CFA807A25C","587,794.013242260215430145","No"
"0xA7131097bCF468D6Fb6A757259A154ca9428ca8C","582,437.120681821366095116","No"
"0xd007058e9b58E74C33c6bF6fbCd38BaAB813cBB6","572,939.520310121699703351","No"
"0x16AD8E5E235FD3628B6781A86515538D0405524C","563,541.058573236554492227","No"
"0x20017A30D3156D4005BDA08C40ACDA0A6AE209B1","561,749.361457827705434386","No"
"0xB01151B93B5783C252333CE0707D704D0BBDF5EC","557,310.902228029009301336","No"
"0xF96dA4775776ea43c42795b116C7a6eCcd6e71b5","545,258.759830035471904666","No"
"0xDEDF3000D83BD3550D7D2080CC48A488C93A9442","538,620.917364282047771362","No"
"0x1e5aebcfdc780da4fb506e93a0b398490fd94864","513,250.230640548295974135","No"
"0x57622D4C4BE22AB9AD3DA104DC281D738E6F5B6A","489,612.670176033868758351","No"
"0x7C363E4650CA88E4676F1CE2AC6F2DD50C102198","485,048.88567013573058321","No"
"0x0C01383ECB25008D207025B405575F908C6167C4","477,833.099692221049414627","No"
"0xAE653682DEE958914A82C9628DE794DCBBEE3D04","471,757.92047286091098351","No"
"0x387ACB7F56A6F29137A21D7EB755A3F638CAB45B","459,914.40367019331074714","No"
"0x3F47CB95EFBC1A15113B6A405B7548421580967F","436,275.117285608281462149","No"
"0x4C6238F0AC7EAA9F615491AF7D16A4A3CBA7ECEE","391,346.677471896210830498","No"
"0x11DBEE24A72D32353057B4DADC24E7136416AE6E","388,142.226344495149457698","No"
"0xCF72B6323BD64D861E7A33B50F6B53ACEA46976B","386,123.021379479629217167","No"
"0x9CFD5052DC827C11A6B3AB2BB5091773765EA2C8","381,142.574428416469581135","No"
"0x48FE56B756EF2717D1DB4050EF648AD4B72F55B9","375,740.965338876189262277","No"
"0x10E3085127C9BD92AB325F8D1F65CDCEC2436149","375,715.138448694112031242","No"
"0x8A473EFB809B1C9EA7A4DD5CDD498E1FAC54DA14","369,330.923840417169480255","No"
"0x9A4A20FC422F849CAA37FD32A873223E23077317","369,104.549085543604757666","No"
"0x6E26D91C264AB73A0062CCB5FB00BECFAB3ACC6B","361,934.501110991050529067","No"
"0x1593aA5Ab7293Ece4650c6BeDb3cFEE6DbFB3624","352,356.553371666624231719","No"
"0xD8CE0EFCC3F2DD2EA0B1D7B9BD260A3987F7AD46","351,614.258307965471977234","No"
"0x66215D23B8A247C80C2D1B7BEF4BEFC2AB384BCE","330,574.288663787542504655","No"
"0x8DA91E387B9476AC05F6830D6F1E371D2314B01E","321,005.326313736561651812","No"
"0x348A05E045B7671CEC920252F737540D97B7FE31","319,289.194081305444425501","No"
"0x9E002DB879BEFD384F0B095664E72C064B2DB73E","314,183.981120580057887724","No"
"0xA7B6F7F3E3AA2D9D33249E755F62D7E5AE19EF13","310,653.659912030958650141","No"
"0x708E5804D0E930FAC266D8B3F3E13EDBA35AC86E","308,980.83431194047407477","No"
"0xD676C0F9E52383EDA1C8036701F12A5E7AC6B0E9","308,142.889841453357297752","No"
"0x78BC49BE7BAE5E0EEC08780C86F0E8278B8B035B","302,280.544874143271209897","No"
"0xBCE3E29641B2083716E023F0BB56635D3062C8C3","301,814.460303103700241294","No"
"0xE24286ADFC053F76888AA51D9A94F6C1519B4CBA","300,568.46321198152332419","No"
"0x903D12BF2C57A29F32365917C706CE0E1A84CCE3","299,296.84432473993740683","No"
"0x8A7915B7727B0D198719864BFBF9C8E4CAF9B21E","289,289.296359715857416914","No"
"0x0000A441FBB1FBAADF246539BF253A42ABD31494","281,890.41888635208326761","No"
"0x44e59f7c598644a68975ef41fed052362c4c8ed3","281,119.195544964887648527","No"
"0x518AE9DC06AF3A4D2DD1B75E2367C0D23257B320","275,630.797824420479377975","No"
"0xE2B91D3E7792F99CA782A72705F19DB6203C9175","272,489.242011626329364906","No"
"0x7AB8C84CA8739F89232E2A28E1FEC209B4ACC23D","268,026.316772518970426936","No"
"0xE662710B76BF0Eda532b109Ac2f6C1ca8688210b","260,340.310892181493459431","No"
"0x482ba6028f0332aAFEA3cFc040D797350975eFea","259,130.052832319150824111","No"
"0xEC257C79ADBA44A44E6DE77A15C12439120557EA","258,088.519756803078506373","No"
"0x004d415be7d9ef539E16f4A9D2E5d29C06789ece","257,667.339014895623796323","No"
"0x3C57CB6C743B190CEC13CD804AFD753531B94EA8","257,605.21790812655981708","No"
"0xBA0098DB592F7BAF7F74F031087D7FFDF7698455","255,589.278877457188317339","No"
"0x72D4D59F31D0CB4A4213A5DC81FC0108241ECC71","248,123.641783310576327632","No"
"0xDB611D682CB1AD72FCBACD944A8A6E2606A6D158","237,010.621624976175929351","No"
"0x537BF75DE19F3D229E3A9018EE1A23C0C9C7D39C","232,096.082409320552401755","No"
"0xc0AA8046f860996B7B6d366b6d71391e70C74376","231,304.220018800278230735","No"
"0x75C0C0591CDF9AF7CB826A65AC213CFF31916668","230,195.283440589743854373","No"
"0x70F994A316A76A18C1ED05E1F5A2756D933C3C7A","226,945.403665651935399946","No"
"0x3ba21b6477f48273f41d241aa3722ffb9e07e247","226,452.244101978685377891","No"
"0x3ad4cee90d0eb10769af8f3d8a58f9df39af45db","225,747.535950559111693186","No"
"0xF3D9B8F6AF674E82943B4685728B00D13A62FC9E","222,434.70675372707157243","No"
"0xEF1D299346DBF2E842FC7872B2548F61FBA9165C","220,660.282666477573111566","No"
"0x41339D9825963515E5705DF8D3B0EA98105EBB1C","220,388.644273462549770713","No"
"0x5BFCE71A1909B4525156290A8FA61AF0F723AB4B","219,395.931485317362311008","No"
"0x29F82D09C2AFD12F3C10EE49CD713331F4A7228E","218,055.14279407981853655","No"
"0xE9EDB2766012CABD56C0165707816DFCA14C0BC6","215,795.606392642706133148","No"
"0xB3C01B1ACCB7EA8AD18C4FF1D5E021887B8FA234","211,007.402400619628770846","No"
"0xFDBBFB0FE2986672AF97ECA0E797D76A0BBF35C9","208,097.825977356770225012","No"
"0x0CEBB78BF382D3B9E5AE2B73930DC41A9A7A5E06","205,216.670213538011141939","No"
"0x33EECC48943AAEABB5328A25FF28EB85F67945C2","201,493.865482872586786141","No"
"0x0459DDA9EB7062E6FDCA6293A4C363722FCA6102","199,099.894824006307728619","No"
"0x7563839E02004D3F419FF78DF4256E9C5DD713ED","198,856.478818171674681453","No"
"0x3E5E68CC7CF9F1AC5ED19E59C9796E43DFB901B3","198,507.038317072535616517","No"
"0x1FC3DDEB035310930A444C0FA59C01618D5902AF","198,064.82478562665942119","No"
"0x2D8304750A8AC17DC1B9A5DA1C85C0A55F12C3D3","197,777.067350576243864405","No"
"0x6AED19ABAB347EB07A2C8B264FC5C4C1B002210B","194,957.461007485104647329","No"
"0xB325C1AC788F02FF7997CF53C6FF40DD762897B3","191,455.393871823942682309","No"
"0x6833EFB00F40AF788F55BF27D6E236541A3989A2","189,259.36971543380037343","No"
"0x2C268CBCB2A0AD4701B359373E138E3F7387BA2B","183,843.118745795265377975","No"
"0x181AE03A7F3F320EC1255C913C9CB63FCE12F77A","182,974.317628254269268385","No"
"0xF3AE3BBDEB2FB7F9C32FBB1F4FBDAF1150A1C5CE","182,121.60213296091413088","No"
"0xDF025DFF5D79A8C5AEC7859E0ECB3CA81E4823A0","177,228.026563089375032985","No"
"0x99FD1378CA799ED6772FE7BCDC9B30B389518962","173,182.703253588665368158","No"
"0x24E09F0B6E050754A9DDEE77D867A786A38339DD","171,943.739714773952929775","No"
"0x3F47A66ADA01491C3D364599E5BCBF80A1A67092","171,410.403492933805849125","No"
"0xA042EA47883ED7A200A88F2649499A3DFD923A8C","169,665.416379786501228063","No"
"0xA52FD396891E7A74B641A2CB1A6999FCF56B077E","168,664.25277939773393814","No"
"0x94DFCE828C3DAAF6492F1B6F66F9A1825254D24B","166,004.744893398825472065","No"
"0x78E96BE52E38B3FC3445A2ED34A6E586FFAB9631","162,005.003599171598277637","No"
"0x90be4e1Da4BB2F464576749abAc99774148bC9a2","160,955.858648921549641446","No"
"0xADFC26B6520A35C37AF3AC5AF174249737EC612C","160,405.524291268601578671","No"
"0x8F11796C0D93A54039F626AB4F17B4398D659EC4","159,222.284373414452634967","No"
"0xAFEA5B52C980BDA1C5BD43DCB381A1B295213E77","157,857.53954320108691918","No"
"0x5B3EFE5B694E902356B10388F443EEDAC54DDB68","157,376.619490831856077123","No"
"0x835AD203958D01E5F2B0F3A6C3B0BD76AB14CA34","157,319.675130366822240125","No"
"0x4E31194647492761FEEDE4F0F28B7C0CDC59217E","156,313.257002055112416865","No"
"0x605B5F6549538A94BD2653D1EE67612A47039DA0","155,552.55743009921713198","No"
"0x6CF2656C825656BB07A6630855618DF37BEC7725","154,260.031830870624356572","No"
"0xF82E9Cd64f932F31B842DcF66Dc7c23f80D4C27D","150,020.374919590173639875","No"
"0x670647441D9C24d981923C9293A2e4EAE6d0C8B3","149,425.086805555430660091","No"
"0xc509c54ab2c3aedc48481a70c3a7c4a57b26e6fa","148,198.003460848217052813","No"
"0x46A0B4FA58141ABA23185E79F7047A7DFD0FF100","147,754.700996561758531108","No"
"0xB5FB1A63DA629C39687D917F4A9BBB49A4E283AF","146,888.322278724697802928","No"
"0x4970F7A02C658B44BCB33DE38810989C912AF154","145,518.76402536977344827","No"
"0x781FEA3353D6EFBBABC9FAC0B4725EFF3C77DBA7","144,809.617139409714235865","No"
"0xA0F75491720835B36EDC92D06DDC468D201E9B73","144,223.58136583650016843","No"
"0x2B93E7DE6C63E492BBCC5C1B9A00BFD3ACBA3224","139,148.086890085142646493","No"
"0x5BFF1A68663FF91B0650327D83D4230CD00023AD","137,648.48782478503255035","No"
"0xD18327BB6D6DE9241BED63BB5E78459325FBBD70","136,965.575145304781751887","No"
"0x4B502A08bc54C05772B2c63469E366C2E78459ed","135,100.286076635663931879","No"
"0x5F40189A2349544D4A60E2D433B07DB14F67BF79","134,778.811937970374926096","No"
"0x50F617990B328DE3CCE1E2921DB91AC294F4EB1A","133,743.446425725402456351","No"
"0xFADAFCE89EA2221FA33005640ACF2C923312F2B9","132,698.567622186662357542","No"
"0x59CE4A2AC5BC3F5F225439B2993B86B42F6D3E9F","132,583.951137290523432056","No"
"0x337651f584587461a862aC0fFba307Cf03404123","131,715.287116697965731687","No"
"0xE6939A804B3C7570FF5F36C1F0D886DAD4B4A204","130,649.71157938765093952","No"
"0x8196E0648CB16E9151C2920618A58605706B5836","130,182.985835559381994952","No"
"0x34D6DBD097F6B739C59D7467779549AEA60E1F84","130,134.967243768996855255","No"
"0x4544E2FAE244EA4CA20D075BB760561CE5990DC3","129,769.579211060348825601","No"
"0x90E4DDAF91CD9228ADC27EA5422A383F513B5DAE","128,762.096336878313131524","No"
"0xFD6D004E713E809292007C4F70DAF12894A2B394","128,694.636125224703787976","No"
"0x3D75C58E07FF3A44E296B0701B8A54055DBAA07E","128,492.667903348500662771","No"
"0xCB16F82E5949975F9CF229C91C3A6D43E3B32A9E","128,119.99145580897647519","No"
"0x2E4AE4D3BD0AF45040B4F17E0BB7E6DC548626B1","127,849.564491877978880648","No"
"0xF82502938B8B06C69770631CC0D9B81CE563A4E2","127,060.690810885718189206","No"
"0x49BFB3DDC37128179EBA7B5F50BBD1FA5075E4E6","122,765.298581101369007837","No"
"0x17080b589cdcbd10ebeaa24cb0096f4bb29eb52b","122,708.075705616490004955","No"
"0xC255E0A1BE0A4B7B8BF5EBE8D0ABA162CF75BAE2","122,150.299385141364433574","No"
"0x8F46DAF12390E6645715753CF7E65E8D935FA118","121,472.135020294257276226","No"
